Hour,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
6,66,17.63963978,865.6940308,98.56198723,78.64978142,0.475626677
7,204,18.99587008,866.2774048,90.91374726,65.95204468,0.151074827
8,419,20.09441513,866.6608276,90.47197441,54.0790781,0.449200392
9,632,19.6964202,866.7366333,87.18705323,43.77327313,0.482875079
10,782,21.01688443,866.1241455,83.40834618,36.43719664,0.453942418
11,806,21.66539699,865.1593018,79.32627655,34.0734353,0.503626227
12,799,21.83536529,864.1002197,77.73648648,37.63745148,0.557724833
13,686,21.44517236,863.3604736,79.67872104,45.75732083,0.600165009
14,346,20.60423255,863.2022705,83.47236086,56.48454811,0.627792954
15,68,19.43944811,863.3952026,89.79480726,68.58031415,0.665223539
16,39,18.0853332,863.875,98.16862948,81.39923597,0.581589639
17,0,17.27466278,864.6345215,100,94.59532413,0.42417863
18,0,17.26808618,865.3408203,100,107.945708,0.340127915
19,0,17.11175527,866.0581665,100,121.2602418,0.291430235
20,0,16.77695346,866.5188599,100,134.2817604,0.408591747
21,0,16.42753859,866.5908203,100,146.4796802,0.525685608
22,0,15.91029027,866.5314941,100,156.377883,0.60751164
23,0,15.22273135,866.4232788,100,160.0731527,0.692952096
0,0,15.01384138,866.1848145,96.5489178,154.6665774,0.742362618
1,0,15.10179795,866.0824585,94.35998338,144.0772472,0.667248607
2,0,15.10841873,866.0425415,93.31655858,131.6422521,0.605600178
3,0,15.08556618,866.1400757,92.8424663,118.5391175,0.559524596
4,0,14.98074574,866.618103,93.02961343,105.2120502,0.509807169
5,0,15.17098932,867.3200073,93.56946109,91.89511106,0.461846232
6,130,18.31378627,868.0283203,90.87059274,78.77998386,0.330539882
7,354,19.60775847,868.8111572,79.70986393,66.10927861,0.268483758
8,559,21.09041082,868.9495239,73.0167514,54.2782195,0.484728992
9,719,22.12270054,868.7045898,66.57660777,44.03263637,0.611114502
10,817,22.32708639,868.0501099,68.84493976,36.7684961,0.646690667
11,844,22.29357877,867.194519,71.14080963,34.45234028,0.650105238
12,798,22.00438067,866.1280518,72.83530878,38.00616061,0.651148021
13,683,21.45094438,865.2821045,75.1685903,46.08442485,0.630581856
